Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.266321,0,-0.266319,1.26478E-06,0,0,3.41334,0.266321
-0.266693,-3.82837E-07,-0.266689,0.000002131,0,0,3.4221,0.266691
-0.266346,-2.45399E-08,-0.266339,3.75683E-06,0,0,3.42866,0.266341
-0.265968,3.64286E-07,-0.265959,5.41409E-06,0,0,3.43591,0.265961
-0.266067,2.61792E-07,-0.266057,6.53048E-06,0,0,3.44246,0.266059
-0.25949,7.02361E-06,-0.259477,1.53792E-05,0.098437,-0.0269728,3.58469,0.359024
-0.260119,6.39245E-06,-0.260104,1.58166E-05,0.0986847,-0.0269908,3.5925,0.359898
-0.260374,6.13643E-06,-0.260356,1.66792E-05,0.0986847,-0.0269908,3.60058,0.360149
-0.259513,7.00223E-06,-0.259493,1.88875E-05,0.0986847,-0.0269908,3.60788,0.359288
-0.258685,7.83248E-06,-0.258663,2.10602E-05,0.0986847,-0.0269908,3.61479,0.35846
-0.25877,7.74794E-06,-0.258745,2.20823E-05,0.0986847,-0.0269908,3.62107,0.358541
-0.258988,7.53008E-06,-0.258961,2.29219E-05,0.0986847,-0.0269908,3.628,0.358756
-0.259257,7.26029E-06,-0.259228,2.36799E-05,0.0986847,-0.0269908,3.63648,0.359022
-0.258253,8.26657E-06,-0.258221,2.61395E-05,0.0986847,-0.0269908,3.64481,0.358017
-0.258628,7.89242E-06,-0.258593,2.67159E-05,0.0986847,-0.0269908,3.65169,0.358388
-0.258837,7.68311E-06,-0.258801,2.75081E-05,0.0989417,-0.0269908,3.65786,0.358849
-0.259146,7.3747E-06,-0.259106,2.81476E-05,0.0989417,-0.0269908,3.66707,0.359153
-0.258321,8.20082E-06,-0.258279,3.04166E-05,0.0989417,-0.0269908,3.67401,0.358328
-0.258426,8.09531E-06,-0.258382,3.13214E-05,0.0989417,-0.0269908,3.68156,0.35843
-0.25871,0.000007812,-0.258663,0.000031952,0.0989417,-0.0269908,3.68945,0.35871
-0.25783,8.69145E-06,-0.257781,3.43431E-05,0.0989417,-0.0269908,3.69739,0.35783
-0.256939,9.57985E-06,-0.256887,3.67593E-05,0.0989417,-0.0269908,3.70495,0.356939
-0.257042,9.47663E-06,-0.256988,3.76236E-05,0.0989417,-0.0269908,3.71171,0.357039
-0.257287,9.23382E-06,-0.25723,3.82572E-05,0.0989417,-0.0269908,3.71909,0.35728
-0.257504,9.0177E-06,-0.257445,3.89245E-05,0.0991616,-0.0269984,3.72568,0.357714
-0.256504,0.000010013,-0.256442,4.15795E-05,0.0991616,-0.0269984,3.73427,0.356714
-0.257168,9.35462E-06,-0.257104,4.14768E-05,0.0991616,-0.0269984,3.74185,0.357373
-0.257923,8.60478E-06,-0.257856,4.12029E-05,0.0991616,-0.0269984,3.7495,0.358122
-0.25851,8.01984E-06,-0.25844,4.11955E-05,0.0991616,-0.0269984,3.75549,0.358704
-0.257659,8.86977E-06,-0.257586,4.36727E-05,0.0991616,-0.0269984,3.76306,0.357852
-0.257784,8.74512E-06,-0.257709,4.44363E-05,0.0991616,-0.0269984,3.77086,0.357974
-0.258008,8.52227E-06,-0.25793,0.000045016,0.0991616,-0.0269984,3.77751,0.358194
-0.258259,8.27207E-06,-0.258178,4.55369E-05,0.0991616,-0.0269984,3.78502,0.358441
-0.257867,8.66273E-06,-0.257784,4.72248E-05,0.0992578,-0.0270021,3.79232,0.358144
-0.258018,8.51208E-06,-0.257932,4.79068E-05,0.0992578,-0.0270021,3.8004,0.358292
-0.258254,8.27727E-06,-0.258165,4.84227E-05,0.0992578,-0.0270021,3.80703,0.358523
-0.258529,8.00248E-06,-0.258438,4.88538E-05,0.0992578,-0.0270021,3.81473,0.358794
-0.25778,8.75065E-06,-0.257686,5.12458E-05,0.0992578,-0.0270021,3.82107,0.358045
