Ground-Truth x (m),Ground-Truth y (m),Ground-Truth yaw (rad),Prediction x (m),Prediction y (m),Prediction yaw (rad),Time (s),Error (m)
-0.276932,0,0.00106997,0,0,0,3.54776,0.276934
-0.277153,-2.35738E-07,0.00107082,0,0,0,3.55322,0.277155
-0.277278,-3.69649E-07,0.00107131,0,0,0,3.55688,0.27728
-0.277407,-5.07797E-07,0.00107181,0,0,0,3.56075,0.277409
-0.277197,-2.82736E-07,0.00107099,0,0,0,3.56474,0.277199
-0.276894,4.14903E-08,0.00106982,0,0,0,3.57096,0.276896
-0.276973,-4.28548E-08,0.00107013,0,0,0,3.57576,0.276975
-0.252988,2.56238E-05,0.000977937,0.0986847,-0.0269908,0.00942945,3.77646,0.35281
-0.253509,2.51148E-05,0.000979935,0.0986847,-0.0269908,0.00942945,3.78601,0.353329
-0.253825,2.48048E-05,0.00098115,0.0989417,-0.0269908,0.00936729,3.79196,0.353899
-0.254045,2.45893E-05,0.000981992,0.0989417,-0.0269908,0.00936729,3.79935,0.354118
-0.253209,2.54102E-05,0.000978785,0.0989417,-0.0269908,0.00936729,3.80532,0.353285
-0.252655,2.59523E-05,0.000976659,0.0989417,-0.0269908,0.00936729,3.80985,0.352733
-0.252719,2.58891E-05,0.000976908,0.0989417,-0.0269908,0.00936729,3.81492,0.352797
-0.252805,0.000025806,0.000977234,0.0989417,-0.0269908,0.00936729,3.82057,0.352882
-0.252959,2.56551E-05,0.000977826,0.0989417,-0.0269908,0.00936729,3.82496,0.353036
-0.253132,2.54861E-05,0.000978489,0.0989417,-0.0269908,0.00936729,3.82981,0.353208
-0.252602,2.60044E-05,0.000976459,0.0989417,-0.0269908,0.00936729,3.83435,0.35268
-0.252193,2.64036E-05,0.000974893,0.0989417,-0.0269908,0.00936729,3.83789,0.352273
-0.251742,2.68431E-05,0.000973165,0.0989417,-0.0269908,0.00936729,3.84182,0.351823
-0.251802,2.67851E-05,0.000973394,0.0989417,-0.0269908,0.00936729,3.84564,0.351883
-0.251878,2.67114E-05,0.000973684,0.0989417,-0.0269908,0.00936729,3.85075,0.351958
-0.251997,2.65951E-05,0.000974142,0.0989417,-0.0269908,0.00936729,3.85425,0.352077
-0.252122,0.000026473,0.000974623,0.0991616,-0.0269984,0.00938921,3.85808,0.352423
-0.252251,2.63481E-05,0.000975115,0.0991616,-0.0269984,0.00938921,3.86196,0.35255
-0.251703,2.68824E-05,0.000973013,0.0991616,-0.0269984,0.00938921,3.86667,0.352004
-0.251281,2.72924E-05,0.000971398,0.0991616,-0.0269984,0.00938921,3.87021,0.351584
-0.251617,2.69659E-05,0.000972684,0.0991616,-0.0269984,0.00938921,3.87411,0.351919
-0.251974,2.66189E-05,0.00097405,0.0991616,-0.0269984,0.00938921,3.87812,0.352275
-0.252335,2.62676E-05,0.00097543,0.0991616,-0.0269984,0.00938921,3.8824,0.352634
-0.252721,2.58908E-05,0.000976914,0.0991616,-0.0269984,0.00938921,3.88616,0.353019
-0.253136,0.000025486,0.000978505,0.0991616,-0.0269984,0.00938921,3.89038,0.353432
-0.252716,2.58967E-05,0.000976895,0.0991616,-0.0269984,0.00938921,3.89399,0.353014
-0.252257,2.63454E-05,0.000975132,0.0991616,-0.0269984,0.00938921,3.89812,0.352556
-0.251767,2.68228E-05,0.000973253,0.0991616,-0.0269984,0.00938921,3.90221,0.352068
-0.251825,0.000026766,0.000973477,0.0991616,-0.0269984,0.00938921,3.90596,0.352126
-0.251881,2.67115E-05,0.000973692,0.0991616,-0.0269984,0.00938921,3.90951,0.352182
-0.251939,2.66552E-05,0.000973914,0.0991616,-0.0269984,0.00938921,3.91321,0.35224
-0.252107,2.64915E-05,0.000974559,0.0991616,-0.0269984,0.00938921,3.91824,0.352407
-0.252236,2.63656E-05,0.000975054,0.0991616,-0.0269984,0.00938921,3.92212,0.352536
-0.252026,2.65711E-05,0.000974247,0.0992578,-0.0270021,0.0093903,3.92584,0.352422
-0.251826,0.000026766,0.000973481,0.0992578,-0.0270021,0.0093903,3.9294,0.352223
-0.251898,2.66955E-05,0.000973758,0.0992578,-0.0270021,0.0093903,3.93346,0.352295
-0.251963,2.66322E-05,0.000974007,0.0992578,-0.0270021,0.0093903,3.93707,0.35236
-0.252023,2.65741E-05,0.000974236,0.0992578,-0.0270021,0.0093903,3.9404,0.352419
-0.252155,2.64448E-05,0.000974746,0.0992578,-0.0270021,0.0093903,3.94412,0.352552
-0.252277,0.000026326,0.000975214,0.0992578,-0.0270021,0.0093903,3.94756,0.352673
-0.251617,2.69698E-05,0.00097268,0.0992578,-0.0270021,0.0093903,3.95317,0.352015
-0.251126,2.74475E-05,0.000970794,0.0992578,-0.0270021,0.0093903,3.9573,0.351526
-0.250677,2.78834E-05,0.000969071,0.0992578,-0.0270021,0.0093903,3.9611,0.351078
-0.250731,0.000027831,0.000969278,0.0992578,-0.0270021,0.0093903,3.96489,0.351132
-0.250804,2.77603E-05,0.000969558,0.0992578,-0.0270021,0.0093903,3.96956,0.351205
-0.251222,2.73545E-05,0.000971166,0.0992578,-0.0270021,0.0093903,3.9738,0.351622
-0.251561,2.70258E-05,0.000972467,0.0992578,-0.0270021,0.0093903,3.97724,0.351959
-0.251911,2.66854E-05,0.000973812,0.0992578,-0.0270021,0.0093903,3.98086,0.352308
-0.251233,2.73458E-05,0.000971205,0.0992578,-0.0270021,0.0093903,3.98678,0.351632
-0.250773,2.77922E-05,0.000969439,0.0993765,-0.0270025,0.00940035,3.99072,0.351293
-0.250831,2.77361E-05,0.000969661,0.0993765,-0.0270025,0.00940035,3.99426,0.35135
-0.250889,2.76798E-05,0.000969884,0.0993765,-0.0270025,0.00940035,3.99807,0.351408
-0.251052,2.75222E-05,0.000970508,0.0993765,-0.0270025,0.00940035,4.00289,0.35157
