Landmark x (m),Landmark y (m),Real x (m),Real y (m)
5.97167,-1.80606,-3.7219,-0.73066
5.99048,2.79278,-2.1864,1.4137
3.06329,2.66269,0.2447,2.19
3.07964,-1.89022,6.10938,2.7757
9.11054,2.82419,8.93448,3.0637
8.88455,-1.74597,12.868761,3.0125
12.8353,-1.86898,16.50416,3.4245
12.7678,3.01362,20.13676,4.427
16.4129,-1.54385,22.62956,5.5379
16.3968,3.42207,25.492,6.7404
20.0394,-0.310335,28.1389,6.2025
20.0302,4.42431,30.5221,5.0812
23.3039,0.562834,32.5034,3.3361
22.5237,5.53239,33.8922,1.4012
25.8447,1.55157,34.4761,-1.50426
25.3855,6.73032,33.9992,-5.02338
27.846,1.03464,32.9925,-8.05947
29.4973,-1.1237,32.0983,-10.3
28.0382,6.18933,30.1824,-13.53994
29.6036,-4.11637,27.2831,-15.56437
30.4004,5.05266,24.114,-17.04408
32.3761,3.31884,21.25363,-18.83889
33.7471,1.3862,18.06185,-20.4551
28.7889,-6.76562,14.42086,-22.2634
34.3232,-1.48289,10.5025,-24.3305
33.8382,-4.98012,7.25136,-26.4217
28.0219,-8.74179,3.65159,-27.4551
32.8491,-8.01,0.7886,-26.9459
26.5997,-10.2452,-1.4625,-25.2249
31.9596,-10.2462,-3.2427,-23.576
25.0035,-11.6911,-5.1431,-21.386
30.0597,-13.4755,-5.6174,-17.86085
22.3511,-13.1143,-5.9382,-15.45509
27.159,-15.4983,-5.5558,-12.86017
24.0094,-16.9634,-5.1206,-10.3
20.1992,-14.2237,-4.7841,-7.25754
21.1513,-18.7588,-4.8432,-4.02909
17.5873,-15.4464,-3.7219,-0.73066
17.9814,-20.3851,0.7816,-2.69197
14.7221,-16.9603,-0.3455,-4.51192
14.3274,-22.1843,-0.3478,-7.24288
10.9506,-18.8433,-0.6087,-10.3
10.4108,-24.2668,-1.0043,-12.92998
7.74602,-20.8524,-1.1575,-16.07329
7.1538,-26.3603,-0.9298,-19.28291
5.3526,-22.407,0.9662,-21.9718
3.17961,-22.9996,3.23612,-23.0081
3.56972,-27.392,5.42957,-22.4125
0.89665,-21.9723,7.81877,-20.8555
-1.01361,-19.2906,11.02031,-18.86329
0.698661,-26.8629,14.78774,-16.96723
-1.15449,-15.9854,17.65159,-15.45509
-1.54381,-25.1645,20.26282,-14.2408
-3.30969,-23.5082,22.41953,-13.14739
-5.19024,-21.3213,25.0732,-11.73122
-5.66843,-17.8439,26.6765,-10.3
-1.11687,-12.9433,28.106,-8.7973
-5.99859,-15.4283,28.876,-6.82094
-5.61255,-12.8554,29.7063,-4.19228
-0.73523,-10.2997,29.6054,-1.17965
-5.20382,-10.3116,27.9652,0.9833
-0.467977,-7.24542,25.9655,1.5014
-4.8605,-7.26414,23.4312,0.499
-0.472566,-4.50875,20.14787,-0.37344
-4.90662,-4.03935,16.5151,-1.6032
0.658133,-2.68835,12.940241,-1.92409
-3.80282,-0.74092,8.98305,-1.79678
-2.24957,1.38751,6.09002,-1.85546
0.165914,2.16787,0.7816,-2.69197
,,3.38686,2.7
,,3.00066,2.689
,,3.37852,-1.90677
,,3.01333,-1.90652
