Landmark x (m),Landmark y (m),Real x (m),Real y (m)
6.42175,1.75756,-3.7219,-0.73066
3.11078,2.637,-2.1864,1.4137
4.61543,-2.18201,0.2447,2.19
9.16623,2.66123,6.10938,2.7757
8.87498,-1.7393,8.93448,3.0637
13.2626,2.12828,12.868761,3.0125
12.8404,-1.89645,16.50416,3.4245
16.7638,2.93988,20.13676,4.427
16.4147,-1.5527,22.62956,5.5379
20.293,4.0971,25.492,6.7404
20.0436,-0.311496,28.1389,6.2025
23.2989,0.553573,30.5221,5.0812
22.5111,5.52583,32.5034,3.3361
26.6097,1.18084,33.8922,1.4012
26.2274,6.71011,34.4761,-1.50426
29.5469,-1.15651,33.9992,-5.02338
29.6133,-4.11012,32.9925,-8.05947
29.8203,5.55295,32.0983,-10.3
32.8028,2.92673,30.1824,-13.53994
29.4129,-6.79412,27.2831,-15.56437
34.2388,-0.200589,24.114,-17.04408
27.933,-8.96556,21.25363,-18.83889
33.3426,-7.17907,18.06185,-20.4551
27.1373,-10.6887,14.42086,-22.2634
31.9714,-10.2351,10.5025,-24.3305
28.081,-14.1988,7.25136,-26.4217
22.3572,-13.1071,3.65159,-27.4551
25.0341,-11.6952,0.7886,-26.9459
24.0281,-16.9576,-1.4625,-25.2249
20.199,-14.2249,-3.2427,-23.576
21.1536,-18.7605,-5.1431,-21.386
17.586,-15.4458,-5.6174,-17.86085
17.9913,-20.3894,-5.9382,-15.45509
14.7227,-16.9575,-5.5558,-12.86017
14.3387,-22.1928,-5.1206,-10.3
10.9487,-18.8456,-4.7841,-7.25754
10.4089,-24.2616,-4.8432,-4.02909
7.74734,-20.836,-3.7219,-0.73066
6.72251,-25.9212,0.7816,-2.69197
3.91861,-22.7903,-0.3455,-4.51192
3.26057,-27.4168,-0.3478,-7.24288
0.908844,-21.9527,-0.6087,-10.3
-1.27189,-19.4684,-1.0043,-12.92998
-0.154566,-26.5817,-1.1575,-16.07329
-1.24614,-16.0942,-0.9298,-19.28291
-2.84951,-24.1897,0.9662,-21.9718
-5.17444,-21.357,3.23612,-23.0081
-5.81102,-17.0688,5.42957,-22.4125
-2.87167,-12.4362,7.81877,-20.8555
-0.917729,-10.2287,11.02031,-18.86329
-5.565,-11.4403,14.78774,-16.96723
-0.726817,-7.16976,17.65159,-15.45509
-4.87208,-7.27061,20.26282,-14.2408
-1.74947,-3.93343,22.41953,-13.14739
0.82641,-2.65633,25.0732,-11.73122
-3.66713,-0.443666,26.6765,-10.3
-4.93101,-4.0241,28.106,-8.7973
-0.876118,2.13796,28.876,-6.82094
,,29.7063,-4.19228
,,29.6054,-1.17965
,,27.9652,0.9833
,,25.9655,1.5014
,,23.4312,0.499
,,20.14787,-0.37344
,,16.5151,-1.6032
,,12.940241,-1.92409
,,8.98305,-1.79678
,,6.09002,-1.85546
,,0.7816,-2.69197
,,3.38686,2.7
,,3.00066,2.689
,,3.37852,-1.90677
,,3.01333,-1.90652
