Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.286827,0,-0.250619,0.000109355,0,0,3.67609,0.250638
-0.287202,-4.1594E-07,-0.222705,0.000173978,0,0,3.68478,0.222747
-0.286858,-3.35613E-08,-0.199765,0.000218844,0,0,3.69128,0.19983
-0.286991,-1.81112E-07,-0.181381,0.000248813,0,0,3.70013,0.181471
-0.262157,2.73556E-05,-0.141922,0.00040992,0.0986847,-0.0269908,3.90819,0.242185
-0.262619,2.68873E-05,-0.130135,0.00042181,0.0989417,-0.0269908,3.92145,0.23073
-0.262843,2.66596E-05,-0.119994,0.000431579,0.0989417,-0.0269908,3.92819,0.220662
-0.261858,2.76604E-05,-0.110203,0.000446549,0.0989417,-0.0269908,3.93661,0.210951
-0.261957,2.75602E-05,-0.102672,0.000452308,0.0989417,-0.0269908,3.94354,0.203486
-0.26223,2.72835E-05,-0.0962576,0.000455367,0.0989417,-0.0269908,3.95114,0.19713
-0.262454,2.70571E-05,-0.0905739,0.000457588,0.0989417,-0.0269908,3.95737,0.191503
-0.261646,0.000027877,-0.0845659,0.000466332,0.0989417,-0.0269908,3.9647,0.185559
-0.261776,2.77456E-05,-0.0800369,0.000467356,0.0989417,-0.0269908,3.97298,0.181081
-0.262001,2.75178E-05,-0.0760416,0.000467078,0.0989417,-0.0269908,3.97987,0.177132
-0.26227,2.72454E-05,-0.0724794,0.000465962,0.0991616,-0.0269984,3.98787,0.173831
-0.261473,2.80532E-05,-0.0682402,0.000472611,0.0991616,-0.0269984,3.99469,0.169647
-0.26234,2.71763E-05,-0.0659231,0.000465898,0.0991616,-0.0269984,4.00461,0.167359
-0.263172,2.63332E-05,-0.0637991,0.000459221,0.0991616,-0.0269984,4.01307,0.165263
-0.262263,2.72575E-05,-0.0602108,0.000466118,0.0991616,-0.0269984,4.02109,0.161726
-0.261445,2.80874E-05,-0.0569532,0.000471972,0.0991616,-0.0269984,4.02829,0.158518
-0.261587,2.79434E-05,-0.0548311,0.000469832,0.0991616,-0.0269984,4.03708,0.156428
-0.261822,2.77059E-05,-0.0529559,0.000466787,0.0991616,-0.0269984,4.04405,0.154581
-0.261407,2.81255E-05,-0.0505927,0.000468907,0.0992578,-0.0270021,4.05148,0.152352
-0.261,2.85373E-05,-0.0483818,0.000470808,0.0992578,-0.0270021,4.05879,0.150178
-0.261141,0.000028395,-0.0468314,0.000468058,0.0992578,-0.0270021,4.06659,0.148653
-0.261369,2.81648E-05,-0.0454675,0.000464514,0.0992578,-0.0270021,4.07307,0.147312
-0.260529,2.90137E-05,-0.0431548,0.000469741,0.0992578,-0.0270021,4.08017,0.145041
-0.259475,0.000030075,-0.0407478,0.00047661,0.0992578,-0.0270021,4.08919,0.14268
-0.259585,2.99648E-05,-0.0395788,0.000473599,0.0992578,-0.0270021,4.09657,0.141532
-0.260434,2.91129E-05,-0.0391946,0.000464356,0.0992578,-0.0270021,4.10505,0.141153
-0.259571,2.99813E-05,-0.0371908,0.000469572,0.0992578,-0.0270021,4.11249,0.139189
-0.259709,2.98429E-05,-0.0362436,0.000466224,0.0993765,-0.0270025,4.12117,0.138376
-0.259813,2.97384E-05,-0.0353161,0.000463147,0.0993765,-0.0270025,4.12759,0.137467
-0.260066,2.94848E-05,-0.0345822,0.000458796,0.0993765,-0.0270025,4.13521,0.136747
-0.259711,2.98416E-05,-0.0332991,0.000459625,0.0993765,-0.0270025,4.14163,0.13549
-0.259872,2.96792E-05,-0.0325722,0.000455995,0.0993765,-0.0270025,4.15103,0.134777
-0.259999,2.95521E-05,-0.0318486,0.00045267,0.0993765,-0.0270025,4.15806,0.134068
-0.260771,2.87761E-05,-0.0317903,0.000443809,0.0993765,-0.0270025,4.16598,0.134009
-0.260449,2.91009E-05,-0.0306829,0.000444422,0.0993765,-0.0270025,4.17296,0.132926
-0.260552,2.89973E-05,-0.0300282,0.000441366,0.0993765,-0.0270025,4.17933,0.132284
-0.260888,2.86589E-05,-0.0296306,0.000436307,0.099513,-0.0269954,4.18911,0.132026
-0.261128,2.84168E-05,-0.0291626,0.000432106,0.099513,-0.0269954,4.19596,0.131567
-0.260189,2.93645E-05,-0.0275655,0.000438145,0.099513,-0.0269954,4.20401,0.130007
-0.260494,2.90575E-05,-0.0272321,0.00043331,0.099513,-0.0269954,4.21251,0.12968
-0.26082,2.87296E-05,-0.0269369,0.000428333,0.099513,-0.0269954,4.22159,0.129391
-0.261054,2.84938E-05,-0.0265693,0.000424189,0.099513,-0.0269954,4.22805,0.12903
-0.260098,2.94577E-05,-0.0250553,0.000430439,0.099513,-0.0269954,4.23622,0.127553
-0.260198,2.93578E-05,-0.0246148,0.000427417,0.099513,-0.0269954,4.24291,0.127122
-0.260543,0.000029011,-0.0244321,0.000422279,0.0997493,-0.0269924,4.25304,0.127172
-0.259745,2.98143E-05,-0.023142,0.000427175,0.0997493,-0.0269924,4.25951,0.125914
-0.258771,3.07924E-05,-0.0217116,0.000433565,0.0997493,-0.0269924,4.2677,0.12452
-0.258869,3.06939E-05,-0.0213679,0.000430492,0.0997493,-0.0269924,4.2741,0.124184
-0.25916,3.04027E-05,-0.0212194,0.000425742,0.0997493,-0.0269924,4.28342,0.124038
-0.258091,3.14743E-05,-0.0197446,0.000432981,0.0997493,-0.0269924,4.29171,0.122602
-0.258196,3.13698E-05,-0.0194558,0.000429829,0.0997493,-0.0269924,4.29922,0.122319
-0.258291,3.12749E-05,-0.0191684,0.000426787,0.0997493,-0.0269924,4.30599,0.122039
-0.258644,3.09223E-05,-0.0191445,0.0004215,0.0997493,-0.0269924,4.31713,0.122014
-0.257796,3.17702E-05,-0.0179464,0.000426843,0.100052,-0.0269994,4.32425,0.121145
-0.257894,3.16724E-05,-0.0177037,0.000423789,0.100052,-0.0269994,4.33148,0.120908
-0.25799,3.15766E-05,-0.0174678,0.00042078,0.100052,-0.0269994,4.33825,0.120677
-0.258203,3.13639E-05,-0.0173557,0.000416761,0.100052,-0.0269994,4.34477,0.120567
-0.257117,3.24478E-05,-0.0159719,0.000424267,0.100052,-0.0269994,4.35398,0.119222
-0.25721,3.23558E-05,-0.0157738,0.000421282,0.100052,-0.0269994,4.36077,0.119028
-0.257312,3.22544E-05,-0.0155919,0.000418243,0.100052,-0.0269994,4.36826,0.118851
-0.257556,0.000032012,-0.0155492,0.000414172,0.100052,-0.0269994,4.3754,0.118808
-0.25655,0.000033013,-0.0142812,0.000421215,0.100052,-0.0269994,4.38397,0.117576
-0.256664,0.0000329,-0.0141381,0.00041827,0.100317,-0.026968,4.39141,0.117686
-0.256774,3.27915E-05,-0.0139957,0.000415393,0.100317,-0.026968,4.39872,0.117547
-0.257065,3.25022E-05,-0.0140376,0.000410927,0.100317,-0.026968,4.40727,0.117587
-0.255898,3.36617E-05,-0.0126453,0.000419463,0.100317,-0.026968,4.41741,0.116235
-0.256009,3.35521E-05,-0.0125348,0.000416565,0.100317,-0.026968,4.42462,0.116127
-0.256269,3.32943E-05,-0.012576,0.000412362,0.100317,-0.026968,4.43269,0.116166
-0.256497,3.30686E-05,-0.0125868,0.000408487,0.100317,-0.026968,4.43979,0.116176
-0.25569,3.38688E-05,-0.0115799,0.000413866,0.100317,-0.026968,4.44668,0.115199
-0.256289,0.000033277,-0.0119753,0.000406672,0.100581,-0.0269619,4.45464,0.115837
-0.256539,3.30293E-05,-0.0120234,0.00040265,0.100581,-0.0269619,4.4621,0.115883
-0.255584,3.39764E-05,-0.0108847,0.000409421,0.100581,-0.0269619,4.47041,0.114778
-0.2547,3.48498E-05,-0.00982854,0.000415528,0.100581,-0.0269619,4.47772,0.113754
-0.255408,3.41527E-05,-0.0103585,0.000407375,0.100581,-0.0269619,4.48577,0.114267
-0.256051,3.35175E-05,-0.0108196,0.000399867,0.100581,-0.0269619,4.49237,0.114712
-0.255085,3.44744E-05,-0.00968777,0.000406821,0.100581,-0.0269619,4.50092,0.113615
-0.255248,3.43134E-05,-0.00968737,0.000403612,0.100581,-0.0269619,4.51142,0.113614
-0.255521,3.40438E-05,-0.00979693,0.000399449,0.100777,-0.0269818,4.51938,0.113914
-0.255759,3.38085E-05,-0.00987218,0.000395634,0.100777,-0.0269818,4.52645,0.113987
-0.254759,3.47972E-05,-0.00872572,0.000402949,0.100777,-0.0269818,4.53497,0.112876
-0.254873,3.46854E-05,-0.0086946,0.000400224,0.100777,-0.0269818,4.54218,0.112845
-0.255146,3.44165E-05,-0.00882246,0.000396092,0.100777,-0.0269818,4.55042,0.112968
-0.255361,3.42042E-05,-0.00889311,0.000392512,0.100777,-0.0269818,4.55711,0.113036
-0.254474,3.50802E-05,-0.00787542,0.000398862,0.100777,-0.0269818,4.56515,0.11205
-0.254629,3.49276E-05,-0.00790096,0.000395801,0.100777,-0.0269818,4.57244,0.112074
-0.254755,3.48031E-05,-0.0078954,0.000392987,0.100777,-0.0269818,4.57892,0.112068
-0.255025,3.45377E-05,-0.00803244,0.00038891,0.100777,-0.0269818,4.58678,0.1122
-0.254184,3.53661E-05,-0.0070726,0.000394847,0.100989,-0.0269757,4.5939,0.111474
-0.254907,3.46562E-05,-0.00766895,0.000386688,0.100989,-0.0269757,4.60295,0.11205
-0.25523,3.43372E-05,-0.00786539,0.000382177,0.100989,-0.0269757,4.61206,0.112239
-0.25416,3.53935E-05,-0.00668264,0.000390258,0.100989,-0.0269757,4.62124,0.111095
-0.253353,3.61861E-05,-0.00577539,0.000395904,0.100989,-0.0269757,4.62833,0.110217
-0.254202,3.53549E-05,-0.00651542,0.000386609,0.100989,-0.0269757,4.63724,0.110932
-0.2549,3.46686E-05,-0.00709926,0.000378737,0.100989,-0.0269757,4.64438,0.111496
-0.254021,3.55354E-05,-0.00611755,0.000385146,0.100989,-0.0269757,4.65199,0.110546
-0.253277,3.62659E-05,-0.00528196,0.000390287,0.101097,-0.0270085,4.65847,0.109851
-0.253452,3.60941E-05,-0.00536517,0.000387107,0.101097,-0.0270085,4.66897,0.109931
-0.253707,3.58445E-05,-0.00552469,0.000383079,0.101097,-0.0270085,4.67624,0.110084
-0.252793,3.67405E-05,-0.004528,0.000389621,0.101097,-0.0270085,4.68403,0.109121
-0.253307,3.62382E-05,-0.0049545,0.000383242,0.101097,-0.0270085,4.69061,0.109532
-0.253962,3.55974E-05,-0.00551595,0.000375642,0.101097,-0.0270085,4.69965,0.110074
-0.25488,3.46957E-05,-0.00633311,0.000365714,0.101097,-0.0270085,4.70782,0.110863
-0.254011,3.55522E-05,-0.005374,0.000372008,0.101097,-0.0270085,4.71551,0.109936
-0.25412,3.54446E-05,-0.00539408,0.000369415,0.10119,-0.0269859,4.72212,0.110039
-0.254231,3.53356E-05,-0.0054159,0.000366831,0.10119,-0.0269859,4.72942,0.11006
-0.255163,3.44197E-05,-0.0062504,0.000356846,0.10119,-0.0269859,4.73888,0.110866
-0.254438,3.51352E-05,-0.00543706,0.000361922,0.10119,-0.0269859,4.74511,0.110079
-0.254551,3.50238E-05,-0.00546261,0.000359378,0.10119,-0.0269859,4.7526,0.110103
-0.255268,3.43185E-05,-0.00608574,0.000351392,0.10119,-0.0269859,4.75999,0.110705
-0.256135,3.34621E-05,-0.0068527,0.000342092,0.10119,-0.0269859,4.76903,0.111446
-0.255279,3.43107E-05,-0.00590343,0.000348584,0.10119,-0.0269859,4.77627,0.110527
-0.255976,3.36228E-05,-0.00650255,0.000340953,0.10119,-0.0269859,4.78548,0.111106
-0.256213,3.33882E-05,-0.00664104,0.000337541,0.101337,-0.0269885,4.79224,0.111382
-0.255153,3.44374E-05,-0.0054953,0.000345908,0.101337,-0.0269885,4.80147,0.110274
-0.255571,0.000034025,-0.00582415,0.000340825,0.101337,-0.0269885,4.80992,0.110591
-0.255986,3.36149E-05,-0.00614721,0.000335804,0.101337,-0.0269885,4.81845,0.110903
-0.256223,0.000033381,-0.00629087,0.000332438,0.101337,-0.0269885,4.82552,0.111042
-0.255128,3.44654E-05,-0.0051155,0.000341174,0.101337,-0.0269885,4.83462,0.109905
-0.25526,0.000034335,-0.00516698,0.000338723,0.101337,-0.0269885,4.84193,0.109954
-0.255542,3.40571E-05,-0.00536646,0.000334935,0.101337,-0.0269885,4.84987,0.110147
-0.255784,0.000033818,-0.00552536,0.000331532,0.101505,-0.0269983,4.85679,0.110464
-0.254674,3.49155E-05,-0.00434408,0.000340426,0.101505,-0.0269983,4.86607,0.109322
