Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.314418,0,-2.98023E-08,2.42344E-10,0,0,4.02903,0.00936634
-0.314734,-3.83427E-07,-3.40179E-05,-6.33525E-07,0,0,4.03628,0.00936709
-0.314306,1.37499E-07,7.12625E-05,7.18757E-07,0,0,4.04441,0.00936803
-0.31393,5.93226E-07,0.000107784,1.44964E-06,0,0,4.05152,0.0093706
-0.314043,4.56922E-07,-1.24045E-06,3.16908E-07,0,0,4.05903,0.00937366
-0.307505,8.38984E-06,0.000336818,5.18681E-05,0.098437,-0.0269728,4.20033,0.101755
-0.308307,7.4364E-06,4.66605E-05,0.000048376,0.0986847,-0.0269908,4.21038,0.102277
-0.308561,7.13341E-06,0.000105193,4.80616E-05,0.0986847,-0.0269908,4.21864,0.10222
-0.307559,8.32822E-06,0.000594752,5.61546E-05,0.0986847,-0.0269908,4.22687,0.101751
-0.307653,8.21645E-06,0.00059459,4.94457E-05,0.0986847,-0.0269908,4.23377,0.101749
-0.307767,8.08176E-06,0.000587177,4.49165E-05,0.0986847,-0.0269908,4.24216,0.101755
-0.307986,7.82086E-06,0.000543954,4.08525E-05,0.0986847,-0.0269908,4.24913,0.101795
-0.30687,9.14854E-06,0.00103395,4.75307E-05,0.0986847,-0.0269908,4.25838,0.101325
-0.307289,8.65216E-06,0.000637988,0.000041642,0.0986847,-0.0269908,4.26603,0.101705
-0.307589,8.29553E-06,0.000532695,3.77796E-05,0.0989417,-0.0269908,4.27496,0.102053
-0.307819,8.02255E-06,0.000519343,0.000035037,0.0989417,-0.0269908,4.28177,0.102065
-0.306821,9.20985E-06,0.000980396,4.25478E-05,0.0989417,-0.0269908,4.29018,0.101623
-0.306921,9.09088E-06,0.000738518,4.02863E-05,0.0989417,-0.0269908,4.29738,0.101856
-0.307163,8.80427E-06,0.000592935,3.72454E-05,0.0989417,-0.0269908,4.30431,0.101995
-0.306111,1.00528E-05,0.00102849,4.50318E-05,0.0989417,-0.0269908,4.31339,0.101577
-0.305254,1.10661E-05,0.00112003,4.99027E-05,0.0989417,-0.0269908,4.32089,0.10149
-0.305379,1.09189E-05,0.00101183,4.67583E-05,0.0989417,-0.0269908,4.32891,0.101594
-0.305596,1.06622E-05,0.000935467,4.34623E-05,0.0989417,-0.0269908,4.33548,0.101666
-0.30457,1.18737E-05,0.00137837,5.04544E-05,0.0991616,-0.0269984,4.34429,0.101455
-0.303656,1.29501E-05,0.0015043,5.51251E-05,0.0991616,-0.0269984,4.35222,0.101335
-0.304534,1.19196E-05,0.000872073,4.53888E-05,0.0991616,-0.0269984,4.36215,0.101942
-0.305204,1.11311E-05,0.0007107,3.86975E-05,0.0991616,-0.0269984,4.36898,0.102096
-0.30416,1.23626E-05,0.00129983,4.68145E-05,0.0991616,-0.0269984,4.37816,0.10153
-0.304259,1.22456E-05,0.00108973,4.46114E-05,0.0991616,-0.0269984,4.3843,0.101732
-0.304385,1.20984E-05,0.00100016,4.25196E-05,0.0991616,-0.0269984,4.39235,0.101818
-0.304603,1.18418E-05,0.000930795,3.99056E-05,0.0991616,-0.0269984,4.39881,0.101884
-0.304159,1.23646E-05,0.00115597,4.30954E-05,0.0992578,-0.0270021,4.40709,0.101762
-0.304292,1.22077E-05,0.00102218,4.11514E-05,0.0992578,-0.0270021,4.41422,0.10189
-0.30443,1.20459E-05,0.000969816,3.93849E-05,0.0992578,-0.0270021,4.42231,0.10194
-0.304685,1.17451E-05,0.000998694,3.65326E-05,0.0992578,-0.0270021,4.42913,0.101911
-0.303876,1.26981E-05,0.00141432,4.28435E-05,0.0992578,-0.0270021,4.43592,0.101512
-0.304016,1.25336E-05,0.00121135,4.05705E-05,0.0992578,-0.0270021,4.4453,0.101708
-0.304115,1.24176E-05,0.00115007,3.89089E-05,0.0992578,-0.0270021,4.45178,0.101766
-0.305178,1.11683E-05,0.000762151,2.93802E-05,0.0992578,-0.0270021,4.46266,0.102138
-0.304323,1.21761E-05,0.00134128,3.67129E-05,0.0993765,-0.0270025,4.47012,0.101696
-0.304454,1.20223E-05,0.00118722,3.50411E-05,0.0993765,-0.0270025,4.47821,0.101844
-0.304691,1.17442E-05,0.00108863,3.26297E-05,0.0993765,-0.0270025,4.48542,0.101938
-0.304088,1.24533E-05,0.00136885,3.74653E-05,0.0993765,-0.0270025,4.49642,0.101669
-0.304212,0.000012308,0.0012004,3.58202E-05,0.0993765,-0.0270025,4.50328,0.101831
-0.304363,1.21307E-05,0.0011262,3.41243E-05,0.0993765,-0.0270025,4.51188,0.101902
-0.304988,1.13955E-05,0.000917774,2.85205E-05,0.0993765,-0.0270025,4.51824,0.102102
-0.304491,1.19812E-05,0.00138724,3.29946E-05,0.0993765,-0.0270025,4.52915,0.10165
-0.304615,1.18352E-05,0.00132985,3.17971E-05,0.099513,-0.0269954,4.53696,0.101835
-0.304907,1.14918E-05,0.00124453,0.000029282,0.099513,-0.0269954,4.54521,0.101917
-0.305152,0.000011203,0.00122967,2.72872E-05,0.099513,-0.0269954,4.55222,0.101931
