Landmark x (m),Landmark y (m),Real x (m),Real y (m)
5.9813,-1.80474,-3.7219,-0.73066
5.98796,2.78887,-2.1864,1.4137
3.03429,2.68297,0.2447,2.19
5.98768,2.7883,6.10938,2.7757
5.98871,2.78798,8.93448,3.0637
5.97669,-1.81089,12.868761,3.0125
5.99397,2.7874,16.50416,3.4245
6.00449,2.78058,20.13676,4.427
5.97846,-1.7949,22.62956,5.5379
3.19844,-1.89208,25.492,6.7404
6.01627,2.77144,28.1389,6.2025
8.86882,-1.74723,30.5221,5.0812
8.81948,3.06694,32.5034,3.3361
8.83228,3.05948,33.8922,1.4012
8.83224,3.05954,34.4761,-1.50426
8.83645,3.05556,33.9992,-5.02338
8.89294,-1.73984,32.9925,-8.05947
12.8319,-1.86736,32.0983,-10.3
12.7591,3.014,30.1824,-13.53994
12.768,3.01562,27.2831,-15.56437
12.7706,3.01119,24.114,-17.04408
12.7736,3.01667,21.25363,-18.83889
12.8396,-1.86638,18.06185,-20.4551
16.4184,-1.53521,14.42086,-22.2634
16.3921,3.42552,10.5025,-24.3305
16.4013,3.42785,7.25136,-26.4217
16.396,3.42297,3.65159,-27.4551
16.4113,-1.5331,0.7886,-26.9459
16.3937,3.41193,-1.4625,-25.2249
20.0254,-0.327648,-3.2427,-23.576
20.0333,4.40622,-5.1431,-21.386
20.0421,4.42787,-5.6174,-17.86085
20.0363,4.42073,-5.9382,-15.45509
20.051,-0.290344,-5.5558,-12.86017
20.0422,4.42586,-5.1206,-10.3
23.2977,0.566339,-4.7841,-7.25754
22.5111,5.53748,-4.8432,-4.02909
22.5216,5.54181,-3.7219,-0.73066
23.3181,0.55538,0.7816,-2.69197
25.8382,1.5486,-0.3455,-4.51192
22.5383,5.53583,-0.3478,-7.24288
25.8578,1.5546,-0.6087,-10.3
25.378,6.73798,-1.0043,-12.92998
27.8445,1.03067,-1.1575,-16.07329
29.5131,-1.12169,-0.9298,-19.28291
27.8488,1.02907,0.9662,-21.9718
28.0387,6.18738,3.23612,-23.0081
